หน้า (PAGE),รหัสสินค้า (PART NUMBER),รหัสเดิม (OLD NO.),ยี่ห้อ/OEM,เลขอ้างอิง (CROSS REFERENCE),รุ่นรถ/หมายเหตุ (APPLICATION)
39,ST28040,CX8040,DONALDSON,31018721-1                 P551047,
39,ST28061,CX8061,KOMATSU,600-311-3620/600-319-3610,
39,ST28061,CX8061,FLEETGUARD,FS1242,
39,ST28061,CX8061,DONALDSON,P555001,
39,ST28061A,CX8061带总成,CUMMINS,3355903,
39,ST28061A,CX8061带总成,FLEETGUARD,FS1242K,
39,ST28061A,CX8061带总成,DONALDSON,P555001,
39,ST28061C,CX8061B带杯,CUMMINS,3355903,
39,ST28061C,CX8061B带杯,FLEETGUARD,FS1242B,
39,ST28061C,CX8061B带杯,DONALDSON,P555001,
40,ST28135,CX8135,V.A.G,68127177,
40,ST28135,CX8135,FLEETGUARD,FF5135,
40,ST28135,CX8135,DONALDSON,P550588,
40,ST28240,CX8240,CUMMINS,3831871S,
40,ST28240,CX8240,FLEETGUARD,FS1240,
40,ST28240,CX8240,DONALDSON,P502516,
40,ST28240C,CX8240B带杯,CUMMINS,3831871S,
40,ST28240C,CX8240B带杯,FLEETGUARD,FS1240,
40,ST28251,CX8251,FLEETGUARD,FS1251,
40,ST28251,CX8251,DONALDSON,P550248,
40,ST28321,CX8321,KOMATSU,600-311-8321,
40,ST28321,CX8321,FLEETGUARD,FF5578,
40,ST28321,CX8321,DONALDSON,P550105,
40,ST28373,CX8373,CATERPILLAR,129-0373,
40,ST28373,CX8373,FLEETGUARD,FS19590,
40,ST28373,CX8373,DONALDSON,P551746,
40,ST28373C,CX8373带杯,CATERPILLAR,129-0373,
40,ST28373C,CX8373带杯,FLEETGUARD,FS19590,
40,ST28373C,CX8373带杯,DONALDSON,P551746,
40,ST28585,SP-8585,YANMAR,129100-55650,
40,ST28585,SP-8585,HITACHI,4635839,
40,ST28585,SP-8585,HITACHI,4366704,
40,ST28668,CX8668,VOLVO,11110668,
40,ST28668,CX8668,FLEETGUARD,FS19753,
40,ST28668,CX8668,DONALDSON,P551026,
40,ST28724,SP-8724,CATERPILLAR,1R-0724  4H8792,
40,ST28724,SP-8724,FLEETGUARD,FF116,
40,ST28724,SP-8724,DONALDSON,P558792,
40,ST28756,SP-8756,CATERPILLAR,1R-0756,
40,ST28756,SP-8756,FLEETGUARD,FF5323,
40,ST28756,SP-8756,DONALDSON,P551317,
40,ST28766,ST-8766,CATERPILLAR,1R0766,
40,ST28766,ST-8766,FLEETGUARD,FF5251,
40,ST28771,CX8771,CATERPILLAR,1R0771,
40,ST28771,CX8771,FLEETGUARD,FS19995,
40,ST28771,CX8771,DONALDSON,P550626,
40,ST28771C,CX8771B带杯,CATERPILLAR,1R0771,
40,ST28771C,CX8771B带杯,FLEETGUARD,FS19995,
40,ST28771C,CX8771B带杯,DONALDSON,P550626,
41,ST28843,CX8843,PERKINS,2656F843,CAT910H
41,ST28843,CX8843,CATERPILLAR,299-8229,
41,ST28844,CX8844,GMC,2656F844,
41,ST28853,CX8853,PERKINS,2656F853,
41,ST28853,CX8853,CATERPILLAR,271-5076 308-7293,
41,ST28855C,CX8855,PERKINS,2656F855,
41,ST29030,SP-9030,,01030小松,
41,ST29030,SP-9030,,81.12503-0086,
41,ST29031,SP-9031,,,
41,ST29032,SP-9032,,01830,
41,ST29034,SP-9034,,,
41,ST29121,CX9121,KOMATSU,600-311-9121,
41,ST29121,CX9121,FLEETGUARD,FF5076/ FF232,
41,ST29121,CX9121,MITSUBISHI,P557440,
41,ST29163A,SP9163A,,4132A016    26560163ASSY,
41,ST29201A,SP9201A,,4132A014/4132A018   26560201ASSY,
41,ST29731A,CX9731,KOMATSU,600-311-9731,
41,ST21014,CX014,,51.12503-0063,
42,ST21015,CX015,,20998805,
42,ST21016,CX016,,E52KP D36                PU10461/1,
42,ST21017,CX017,,E412KP02D55              0425.8970,
42,ST21018,,,PU855X,
42,ST21019,,,FF5405,
43,ST30001,,,,
43,ST30002,,,RD431-62122,
43,ST30003,,,,
43,ST30004,,,,
43,ST30005,,,,
43,ST30006,,,,
43,ST30007,,,,
43,ST30008,,,,
43,ST30009,,,,
43,ST30010,,,885-0505501,
43,ST30011,,,,
43,ST30012,,,,
43,ST30013,,,,
43,ST30014,,,,
44,ST30015,,,,
44,ST30016,,,,
44,ST30017,,,,
44,ST30018,,,RD451-62120 SH 60913,
44,ST30019,,,,
44,ST30020,,,,
44,ST30021,,,,
44,ST30022,,,,
44,ST30023,,,,
44,ST30024,,,,
44,ST30025,,,,
44,ST30026,,,,
44,ST30027,,,,
44,ST30028,,,,
45,ST30029,,,,
45,ST30030,,,,
45,ST30031,,,,
45,ST30032,,,,
45,ST30033,,,,
45,ST30034,,,266-7796 HF35540,"312E L 312D, 319D L 319D LN 315D L 313D, 318E L 319D 312D L 316E L 318D L 312E"
45,ST30035,,,,
45,ST30036,,,,
45,ST30037,,,4294132                        H-2717,
45,ST30038,,,60304800004,
45,ST30039,,,398-7171,
45,ST30040,,,4120002101001,
45,ST30041,,,6900/0056,
45,ST30042,,,32/925346,
46,ST30043,,,P171818,
46,ST30044,,,42Y-60-H5080,
46,ST30045,,,SY420,
46,ST30046,,,徐挖210,
46,ST30047,,,力士德330 360,
46,ST30048,,,威克特323,
46,ST30049,,,SK380,
46,ST30050,,,HF28894                  75911603,
46,ST30051,,,362-1163 SH66279  HY90815 305E 306E 308E,
46,ST30052,,,GC208 238/Y221-78A-040000,
46,ST30053,,,SWE150,
46,ST30054,,,久保田15,
46,ST30055,,,2P5834/PT8350,
46,ST30056,,,P164172,
47,ST30057K,,,14X-60-31150,
47,ST30057J,,,5421274                   1275949,
47,ST30058,,,,
47,ST30059,,,377-5270,
47,ST30060,,,348-1681,
47,ST30061,,,DX70,
47,ST30062,,,DX70,
47,ST30063,,,60200365                      PO-CO-01-01430,
47,ST30064,,,5618166,
47,ST30065,,,400504-00225 40054-00034,
47,ST30066,,,EF-172B-S                    895-0505400,
47,ST30067,,,53C0515                       926E,
47,ST30068,,,YN52V01025R100,
47,ST30069,,,348-1862,
48,ST30070,,,175-49-11221,
48,ST30071,,,14569658,
48,ST30072,,,400504-00035,
48,ST30073,,,AGB22                         FR60,
48,ST30074,,,H40-7,
48,ST30075,,,2941/2942/2943/3724/4572,
48,ST30076,,,HF6350,
48,ST30077,,,9T6636,
48,ST30078,,,126-1816,
48,ST30079,,,126-1818 P173689 P179343 HF35305,
48,ST30080,,,207-5035                   P179963,
48,ST30081,,,4202505                    P174675                    1238189,
48,ST30082,,,P164172,
48,ST30083,,,42N-62-15470,
49,ST30084,,,HY9592/2                   1046931                    PT9430-MPG,
49,ST30085,,,167-2009/P550924,
49,ST30086,,,249-2237                   P164207,
49,ST30087,,,E35403781M1,
49,ST30088,,,9G6420                      493144,
49,ST30089,,,344-0004,
49,ST30090,,,32/925100,
49,ST30091,,,RC461-62150/1,
49,ST30092,,,国机225-9,
49,ST30093,,,65B0028                   DM101P10,
49,ST30094,,,346271-31110,
49,ST30095,,,C6370647,
49,ST30096,,,52263209                  52263183,
49,ST30097,,,801-0521102,
50,ST30098,,,22L-60-22120               H56530,
50,ST30099,,,389-1079,
50,ST30100,,,HHK70-14070                 K7561-1407,
50,ST30101,,,SH60560                 SAMPLE6018,
50,ST30102,,,H-5520                         265-8676,
50,ST30103,,,109-3321                       C-85140,
50,ST30104,,,SH60572,
50,ST30105,,,XE150B,
50,ST30106,,,D802.374.03                    EF-466-100,
50,ST30107,,,V2.1217-08-M,
50,ST30108,,,ZE205E                      ZE230E,
50,ST30109,,,7373877,
50,ST30110,,,SWLX-450-10-A          730403010028,
50,ST30111,,,SDLG85,
51,ST30112,,,沃德210,
51,ST30113,,,1368221              0015D010BN4HC,
51,ST30114,,,379-9692,
51,ST30255,,,ZD11G20000 YN52V01011P1,
51,ST30490,,,HF7935/P502382,
51,ST30628,,,HF28850/P556005 31E9-0126,
51,ST30724,,,机械用液压滤芯              SPECIFICATION:             180*93*61/48,
51,ST30725,,,吊车用液压滤芯 A  400*143*103                 B 168*83*41                        C 75*58*28/7,
51,ST30731,,,680513666-1,
51,ST30732,,,C45702411/HF35018/P551348,
51,ST30771,,,4I3948/HF28938/P170480,
51,ST30781,,,093-7521/HF35018/P551378,
51,ST30782,,,5I8670/HF35519 418-18-34160 P502622,
51,ST30792,,,4T6788/HF6710/P550388,
52,ST30800,,,KHJ1400               152*167*21/0,
52,ST30800L,,,KHJ0738               240*167*15/12,
52,ST30800S,,,KHJ0996  E04 6AA6911                150*118*13,
52,ST30801,,,689-35700021  689-37310012,
52,ST30802,,,689-38210012/HF6305,
52,ST30803,,,4159319  4227353/HF7921/P173207,
52,ST30804,,,07063-01142/HF6356/P551142,
52,ST30805,,,205-60-51430/4206705/ 07063-01210  07063-05210 /HF7953,
52,ST30806,,,P551347 HF35456 997352 966431 PT8341 E8570011 SH60027,E8570011/E200E E320B
52,ST30807,,,689-33601001/4207841  4370435/HF7954/EX200,
52,ST30808,,,175-49-11580 175-49-02414/HF6072 D75S-3 PC120-3,
52,ST30812,,,07063-01054  154-60-12170/HF6354 PC60-5/6 D75S-2,
52,ST30813,,,HF28836/4294135 P550576 1030-61460,
52,ST30814,,,198-49-11440/HF35005P550083 SH120 S265 SH100KS-H120/SH100/KS-H120,
53,ST30816,,,HF7922/2474Y1003A,
53,ST30820,,,07063-01100  175-60-27380/175-60-27380/HF6101,
53,ST30822,,,424-16-11140/385-10100021,
53,ST30823,,,9M9740,
53,ST30824,,,KSJ199 SH300 MS450-5,
53,ST30825,,,,
53,ST30826,,,4225846,
53,ST30828,,,,
53,ST30829,,,SH60/SH75,
53,ST30833,,,126-2081/HF35195 179-9806 P550577 P571271 FY5209,
53,ST30834,,,144-60-11160/16Y-60-130006213/P551160,
53,ST30836,,,130-60-48210/HF6196/P550082,
53,ST30840,,,AF6098/4J6064,
53,ST30844,,,075-511306/SK120 24046Z18,
54,ST30846,,,SK70,
54,ST30849,,,31E3-0212  R200LC R280LC                    R290/350现代210-5,
54,ST30852,,,HF6547/126-1817 134-3104/LF6588/P176567,
54,ST30853,,,4656602 / 4656605 / 4656608,
54,ST30854,,,SK120-5,
54,ST30855,,,4448402  4443773/FHF7691/EX200-HHE EX220-HHE,
54,ST30856,,,4448401,
54,ST30859,,,1214275H4/HF6836/P550320,
54,ST30860,,,207-60-71181 20Y-60-56280 207-60-71182/HF35360 207-60-7183,
54,ST30860B,,,207-60-71182/3,
54,ST30865,,,207-60-71122/3,
54,ST30866,,,25010643/HF6243/P550223,
54,ST30867,,,HF6177/P171613 P550148,
54,ST30870,,,HF6205/P557624,
55,ST30872,,,31EE-01060/R55 R60 R800W3,
55,ST30873,,,3502410/P502170,
55,ST30879,,,PC50先导格  specification            36*41*24.5,
55,ST30890,,,21W-60-41121,
55,ST30891,,,07063-11406,
55,ST30893,,,31E9-1019/R290LC,
55,ST30897,,,4H-8792 9H4729/FF116/P558792,
55,ST30898,,,8231101804 P175120,
55,ST30901,,,4333469/07063-01383/HF28910,
55,ST30902,,,,
55,ST30906,,,2474-1001,
55,ST30920,,,130-3212/HF35381  HF35453/P173702,
55,ST30926,,,6635177  KS0702,
55,ST31003,,,2474-1003A/P502170,
56,ST31005,,,418-18-34161,
56,ST31006,,,HHIA05900,
56,ST31010,,,3515328M92/HF6557,
56,ST31011,,,581/8063/HF35193,
56,ST31016,,,AT144879,
56,ST31017,,,0750131056/HF6316,
56,ST31140,,,424-16-11140/HF35255/P550084,
56,ST31290,,,281-16-11290/HF6084/P551290,
56,ST31322,,,23S-49-13122,
56,ST31344,,,119-4740/HF35467/P550486,
56,ST31357,,,82005016/HF28885,
56,ST31813,,,400504-00241,
56,ST31814,,,400504-00240,
56,ST31816,,,4J0816/HF6201/P550816,
57,ST32343,,,日立55先导格,
57,ST32344,,,A222100000119,
57,ST32914,,,4402914,
57,ST33853,,,,
57,ST33875,,,3S-3875/P502178,
57,ST35303,,,TXW8A-10-B/HF28803  1014010049 QA-B5303       80-004K,
57,ST35461,,,9J-5461  9J0750/HF6202/P555461,
57,ST36064,,,4J6064/HF6098/P556064,
57,ST38001,,,MI三菱 58873-12200,
57,ST38002,,,ZAX液压格,
57,ST38003,,,3DXNIM,
57,ST38004,,,WY20.YLX-192  柳工：53C0066,
57,ST38007,,,R210LC-9  R250NLC-7 31Q6-20340 HF35555 P165136 HF30707,R210LC-9  R250NLC-7
57,ST38008,,,R210LC-9  R250NLC-7,
58,ST38010,,,神钢超8  日立470,
58,ST38011,,,HF7071/81558479,
58,ST38012,,,SP255双高,
58,ST38013,,,172187-73730,
58,ST38014,,,172175-73710,
58,ST38015,,,SK75 YR52V01001R100 YR52V01004R300,
58,ST38016,,,243-3758,
58,ST38017,,,EF-1828,
58,ST38018,,,YZXB-11B-DF,
58,ST38019,,,TLX369M110,
58,ST38020,,,TLX368C,
58,ST38021,,,FE025FD1,
58,ST38022,,,玉柴先导格,
58,ST38023,,,山河智能先导格,
59,ST38024,,,4413FS 久保田铜网50,
59,ST38025,,,久保田50.60,
59,ST38026,,,久保田铜网,
59,ST38027,,,,
59,ST38028,,,H20211,
59,ST38029,,,SP860 20Y-60-31140 201-60-62140,
59,ST38030,,,60082693,
59,ST38031,,,山河智能70N9,
59,ST38032,,,16Y-76-09200,
59,ST38033,,,16Y-15-07000,
59,ST38034,,,195-13-13420,
59,ST38035,,,411-60-04000,
59,ST38036,,,411-60-02000,
59,ST38037,,,3EB-15-51600,
60,ST38038,,,福田80,
60,ST38039,,,CKT220CD1,
60,ST38040,,,,
60,ST38041,,,11707544,
60,ST38042,,,4358407,
60,ST38043,,,2474-9042S,
60,ST38044,,,龙工先导   力士德220/230,
60,ST38045,,,0.9011.428.2,
60,ST38046,,,LN3307250M91,
60,ST38047,,,厦工XGMA 806,
60,ST38048,,,,
60,ST38049,,,,
60,ST38055,,,4206705/205-60-51210,
60,ST38056,,,,
61,ST38057,,,,
61,ST38058,,,04411047,
61,ST38061,,,,
61,ST38062,,,53C0055 FY5212,
61,ST38063,,,,
61,ST38064,,,,
61,ST38065,,,,
61,ST38066,,,,
61,ST38067,,,,
61,ST38068,,,209-60-11532/209-60-77532,
61,ST38069,,,172141-73760/311781-31140,
61,ST38070,,,21U-60-32210 KH176,
61,ST38071,,,P166135/HC8900FKN16Z,
61,ST38072,,,HF35354/4067977,
62,ST38073,,,TXX8C10/HF6311,
62,ST38074,,,121-10-13310,
62,ST38075,,,285-62-17320,
62,ST38076,,,4358407,
62,ST38077,,,C6370647,
62,ST38712,,,714-07-28712,
62,ST38713,,,714-07-28713,
62,ST38714,,,1R-0741  4J6064/HF6098/P556064,
62,ST38719,,,1R-0719  9M9740/HF6097/P559740,
62,ST38722,,,1R-0722  P555461 P164241 9J0750 HF6344 H5506 HF6202 ST35461 9J5461 1R0774 1R0722 1R-0722 SH56252 ML1014 1R-0774,
62,ST38728,,,1R-0728  4J0816/HF6201,
62,ST38732,,,1R-0732/HF6083,
62,ST38735,,,1R-0735  4T0522/HF6376/P530523,
62,ST38746,,,1R-0746/HF28900/P551753,
63,ST38773,,,1R0773,
63,ST38774,,,1R0774,
63,ST38809,,,1R1809/HF35480 328-3655,
63,ST38878,,,HF6553 HF28940 341-6643 HF6555/P164378/N9025 1G-8878,
63,ST39025,,,N9025/HF6555/P163322,
63,ST39026,,,254686A2  HF35150,
63,ST39027,,,P164381   HF65552,
63,ST39525,,,4630525,
63,ST39740,,,9M97400/HF6097/P559740,
63,ST39740,,,"SFH2205 1103452C2
1103462C1 3I0527
P162205",
64,ST40001A,,,AF25270/1109N020,
64,ST40001B,,,AF25271/1109N030,
64,ST40002A,,,KX2640-2000/612600110540A,
64,ST40002B,,,KX2640-3000/612600110540B,
64,ST40003A,,,AF25382/5010230916,
64,ST40003B,,,AF25439/5010269584,
64,ST40004A,,,AF25333/5010230841,
64,ST40004B,,,AF25643/5010317187,
64,ST40005,,,AF25427/30949104,
64,ST40006,,,AF25428/30949204,
64,ST40007,,,AF25066/395773,
64,ST40008,,,PPM85067/,
64,ST40009A,,,1387549/AF25614,
64,ST40010,,,1335679/AF25314,
65,ST40011,,,RS5458/87782,
65,ST40012,,,AF27911/211-2661,
65,ST40013,,,AF4886/4W6691,
65,ST40014A,,,AF25264/81083040083,
65,ST40014B,,,AF25615/81083040084,
65,ST40015A,,,日本小挖新款,
65,ST40015B,,,日本小挖新款,
65,ST40016A,,,柳工225/龙工6225/力士德230,
65,ST40016B,,,,
65,ST40017A,,,4N0326/AF921M,
65,ST40017B,,,4N0313/AF26399,
65,ST40018A,,,245-6375/AF26399,
65,ST40018B,,,245-6376/AF26400,
65,ST40019A,,,C15300/AF26391,
66,ST40019B,,,87782/CF300/AF26392,
66,ST40020A,,,AF26124,
66,ST40020B,,,AF26125,
66,ST40021A,,,4642122,
66,ST40021B,,,4642117,
66,ST40022A,,,15028-911217,
66,ST40022B,,,15028-911214,
66,ST40023,,,8N5504,
66,ST40024A,,,17801-54180,
66,ST40025A,,,AF25276/1109N12-020,
66,ST40025B,,,AF25277/1109N12-030,
66,ST40026,,,108-0671,
66,ST40027,,,4L9851,
66,ST40028A,,,AF26433/A1028-020,
67,ST40028B,,,AF26434/A1028-030,
67,ST40029A,,,C21600/457-8206,
67,ST40029B,,,CF1280/447-0761,
67,ST40030A,,,P759103,
67,ST40030B,,,P759104,
67,ST40031A,,,X009687/P500945,
67,ST40031B,,,P500946,
67,ST40032A,,,35 P621879 TC020-16320 T0270-16321 RS4803 SA16322 AF26250,
67,ST40032B,,,35 PW11P01038P1 PW02P00010-A3,
67,ST40033A,,,久保田15,
67,ST40033B,,,久保田15,
67,ST40034A,,,A753-020,
67,ST40034B,,,,
67,ST40035A,,,AF26120,
68,ST40035B,,,AF26121/AF26120,
68,ST40036A,,,600-181-9300/600-181-9301,
68,ST40037A,,,6110-80-7300/3I-0869/600-300-110,
68,ST40037B,,,3I-0441/600-3000-120,
68,ST40038A,,,17801-0C010,
68,ST40039A,,,453-5509,
68,ST40039B,,,471-6955,
68,ST40040,,,11707077,
68,ST40041A,,,SK210-10 YN11P00072S006/S007,
68,ST40041B,,,SK210-10,
68,ST40042A,,,C14200/AF26389,
68,ST40042B,,,CF200/AF26390,
68,ST40043A,,,SSA3161,
68,ST40043B,,,SSA3162,
69,ST40044A,,,AF26557,
69,ST40044B,,,AF26558,
69,ST40045A,,,KW2139/310-1109021-937,
69,ST40045B,,,,
69,ST40046A,,,AF4553M/3I-0193,
69,ST40046B,,,AF4544M/3I-0192,
69,ST40047A,,,3111188141/X770691,
69,ST40047B,,,3222188144,
69,ST40048A,,,3222188131/X770689,
69,ST40048B,,,3222188134/P778637,
69,ST40049A,,,1029388/AF25281,
69,ST40049B,,,1029387/AF25282,
69,ST40050A,,,P827655/AF25337,
69,ST40051A,,,1-14215203-0/A-6014,
70,ST40051B,,,1-14215217-0/A-6019,
70,ST40052A,,,1491912/AF26492,
70,ST40053A,,,P611859,
70,ST40054A,,,P611858,
70,ST40054B,,,,
70,ST40055A,,,84191182/P622091,
70,ST40056,,,AF26154/P548070/CA4700,
70,ST40057,,,P602357/226-2779,
70,ST40058,,,2089065  SEV551H/4  10000-12122,
70,ST40058A,,,CA5368/P607965/AF26424,
70,ST40059,,,2525001/AF1010/PA3072,
70,ST40060,,,2526002/AF1009/CA30071,
70,ST40061,,,CP25001/ME422880/ML242294,
70,ST40062,,,87720898/P608675/49675,
71,ST40063,,,87727656/RE196945/P631391,
71,ST40064,,,21830-7S100,
71,ST40065,,,18-3045/CP26295/131210/C26270,
71,ST40066,,,28130-7W100,
71,ST40067,,,P609086,
71,ST40068,,,5261252/AF55309,
71,ST40069,,,5261250/AF55015,
71,ST40071A,,,2515886/1W3637/581-021-2120,
71,ST40071B,,,581-021-2130,
71,ST40072A,,,2515885/9Y6835/6945659,
71,ST40072B,,,9Y7663/6945658,
71,ST40073A,,,AF26080/2868642,
71,ST40073B,,,AF26079/2868461,
71,ST40074B,,,1N4864/35298116,
72,ST40075A,,,2V0036                               2V36,
72,ST40076A,,,6I1450                          D141107,
72,ST40077B,,,230778C1                     8N5006,
72,ST40078A,,,458834,
72,ST40079A,,,243009                           9L2169,
72,ST40080,,,9Y5011                          P53382,
72,ST40081B,,,6N6072                      4206273,
72,ST40082A,,,132-7168                         P533882,
72,ST40083A,,,4S8833                           RA1816,
72,ST40084A,,,4S8337                           P181114,
72,ST40085A,,,3I2013                           RE34962,
72,ST40086A,,,1651689                          P606220,
72,ST40087B,,,7W9567,
72,ST40088A,,,98912515                          PA639,
73,ST40089A,,,2S5648                      7M2654                    70620717,
73,ST40090B,,,P609518                          2777838,
73,ST40091A,,,7Y1196                       P127308,
73,ST40092A,,,RA2498                      6P6664,
73,ST40093B,,,4S8340                         P158668,
73,ST40094A,,,8M3119                       P113720,
73,ST40095A,,,1006846                       1930603,
73,ST40096A,,,FR5331,
73,ST40097,,,7X6041,
73,ST40098,,,P528708                       AF27819 111772907,
73,ST40099,,,400504-00217                  K1029257,
73,ST40100,,,31EH-00480                     AF27917,
73,ST40101A,,,AF26395                         C20500,
73,ST40101B,,,AF26396                       CF500,
74,ST40105,,,20942404                           AF1812                    P771582,
74,ST40108A,,,AF26397                          C23610,
74,ST40108B,,,AF26398,
74,ST40109,,,1613740700             2901043100                AF26393,
74,ST40110,,,321925682/P608533,
74,ST40111,,,321925683/P600975,
74,ST40112,,,2277448                   P608766                    2934053,
74,ST40113,,,2277449                          P785965,
74,ST40114,,,P608666                         3045632,
74,ST40115,,,P601560                         3045633,
74,ST40116,,,P606119,
74,ST40117,,,P606121,
74,ST40118,,,P608675,
74,ST40119,,,346-6687,
75,ST40120,,,346-6688,
75,ST40121,,,P604273,
75,ST40122,,,P844492,
75,ST40123,,,SA-K8638,
75,ST40131A,,,AF25557 AF25352 P828889       600-185-2100 131-8902,
75,ST40131B,,,AF25558                         P829333,
75,ST40132A,,,,
75,ST40132B,,,,
75,ST40133,,,26510337                   P827653                    P772579,
,ST40140,,,479-8989 479-8991,
,ST40155AB,,,1A8240-05110 1A824,65-122-250
75,ST40200A,,,SY200                       9103-0432922,
75,ST40200B,,,SY200,
75,ST40201A,,,AF25268                    1109.6B-202.B,
75,ST40201B,,,AF25269                    1109.6B-030-B,
75,ST40202A,,,P600090 P611190,
76,ST40202B,,,P611189,
76,ST40203A,,,500*270*175*230,
76,ST40203B,,,475*160*190*140,
76,ST40225A,,,AF4058                        P181088,
76,ST40225B,,,,
76,ST40298,,,366-06227                       AF1852,
76,ST40299,,,AF25530                       366-07188,
76,ST40300,,,AAF25332                       601-31350,
76,ST40300A,,,2474-9051                       AF26439,
76,ST40300B,,,4331922,
76,ST40301,,,AF1869 P150135 4N0015,
76,ST40302A,,,AF25125M P5320501 6I-2501,
76,ST40302B,,,AF25126M P532502 6I-2502,
76,ST40303A,,,AF25135M P532505 6I-2505,
77,ST40303B,,,AF25136M P532506 6I-2506,
77,ST40307,,,255*137*173*72,
77,ST40309A,,,1109QF16-020,
77,ST40309B,,FLEETGUARD,AF26506,
77,ST40309B,,,1109QF16-030,
77,ST40338,,FLEETGUARD,AF338  2S1286,
77,ST40351,,FLEETGUARD,AF351KM,
77,ST40351,,DONALDSON,P181000,
77,ST40503A,,FLEETGUARD,AF4067,
77,ST40503A,,DONALDSON,P140131 C13114/4,
77,ST40503B,,DONALDSON,AF4521,
77,ST40503B,,KOMATSU,P777523 CF600,
77,ST40504A,,,11N8Z214,
77,ST40504A,,,R305LC-7,
77,ST40504B,,,R305LC-7,
77,ST40505A,,FLEETGUARD,AF1862M/600-182-3100（A+B),
77,ST40505A,,DONALDSON,P811300,600-181-1600   ST505AB
77,ST40505B,,FLEETGUARD,AF1863M,
77,ST40505B,,DONALDSON,P526432,
77,ST40506A,,FLEETGUARD,AF975M/7Y1323,
77,ST40506A,,DONALDSON,P182082,
77,ST40506B,,FLEETGUARD,AF976/7Y1322,
77,ST40506B,,DONALDSON,P124047,
78,ST40507,,FLEETGUARD,AF25631,
78,ST40507,,DONALDSON,8149064,
78,ST40507-1,,FLEETGUARD,AF25632,
78,ST40507-1,,DONALDSON,8149961,
78,ST40508A,,FLEETGUARD,AF25065,
78,ST40508A,,DONALDSON,P771508,
78,ST40508B,,FLEETGUARD,AF1841,
78,ST40508B,,DONALDSON,P776696,
78,ST40509A,,FLEETGUARD,AF25064,
78,ST40509A,,DONALDSON,P771561,
78,ST40509B,,FLEETGUARD,AF1840,
78,ST40509B,,DONALDSON,P776695,
78,ST40510A,,FLEETGUARD,AF4060,
78,ST40510A,,DONALDSON,P181137,
78,ST40510B,,FLEETGUARD,AF1943,
78,ST40510B,,DONALDSON,P776697,
78,ST40511A,,FLEETGUARD,AF25769 AF26401 C30810,
78,ST40511B,,FLEETGUARD,AF26402,
78,ST40511B,,DONALDSON,2914501800,
78,ST40512A,,FLEETGUARD,AF1802,
78,ST40512A,,DONALDSON,P771558,
78,ST40512B,,FLEETGUARD,AF4523,
78,ST40512B,,DONALDSON,P77551,
78,ST40513A,,FLEETGUARD,AF25894,
78,ST40513A,,DONALDSON,C26980,
78,ST40513B,,FLEETGUARD,AF25896,
78,ST40513B,,DONALDSON,C1640,
79,ST40515A,,FLEETGUARD,AF25962,
79,ST40515A,,DONALDSON,P613334,
79,ST40515B,,FLEETGUARD,AF25963,
79,ST40515B,,DONALDSON,P613335,
79,ST40527A,,,365*200*205*10*104,
79,ST40527B,,,350*94*88,
79,ST40528,,FLEETGUARD,AF25139M,
79,ST40528,,DONALDSON,P527682,
79,ST40600A,,KOMATSU,"6127-81-7033 6128-81-7210 
6127-81-7311",
79,ST40600A,,FLEETGUARD,AF472,
79,ST40600A,,DONALDSON,P181002  P119372,
79,ST40600A,,ROLLS ROYCE,CV9685,
79,ST40600B,,KOMATSU,6127-81-7413  6128-81-7051(AB),
79,ST40600B,,FLEETGUARD,AF1791,
79,ST40600B,,DONALDSON,P145701,
79,ST40611A,,KOMATSU,600-181-6740(AB) 600-181-6820 600-181-6830,
79,ST40611A,,FLEETGUARD,AF4838,
79,ST40611A,,DONALDSON,P181191,
79,ST40611B,,MITSUBISHI,ME033839,
79,ST40611B,,FLEETGUARD,AF25894/600-181-6730,
79,ST40611B,,DONALDSON,P522452,
79,ST40612A,,KOMATSU,6115-81-7601(AB) 600-181-2300,600-182-2500 AB
79,ST40612A,,FLEETGUARD,AF1903M  AF4533,
79,ST40612A,,DONALDSON,P181139,
79,ST40612B,,KOMATSU,600-181-2350,
79,ST40612B,,FLEETGUARD,AF1902M  AF4532,
79,ST40612B,,DONALDSON,P159036,
79,ST40613A,,KOMATSU,600-181-6540/6550,600-181-6050 AB
79,ST40613A,,HITACHI,4129907,
79,ST40613A,,FLEETGUARD,AF4567,
79,ST40613A,,DONALDSON,R800103,
79,ST40613B,,KOMATSU,600-181-5650,
79,ST40613B,,FLEETGUARD,AF490M,
79,ST40613B,,DONALDSON,P119374,
79,ST40614A,,KOMATSU,6114-80-7101(AB) 600-181-2500/2450,
79,ST40614A,,FLEETGUARD,AF1962,
79,ST40614A,,DONALDSON,P522451,
80,ST40614B,,KOMATSU,600-181-2460/2461,
80,ST40614B,,FLEETGUARD,AF1963,
80,ST40614B,,DONALDSON,P522450,
80,ST40615A,,KOMATSU,600-181-8260/8300,
80,ST40615A,,FLEETGUARD,AF434KM,
80,ST40615A,,DONALDSON,P182064,
80,ST40615B,,FLEETGUARD,AF804M,
80,ST40615B,,DONALDSON,P119375,
80,ST40616A,,KOMATSU,600-181-3800/6125-81-7032(A+B),
80,ST40616A,,FLEETGUARD,AF424,
80,ST40616A,,DONALDSON,P182046,
80,ST40616B,,KOMATSU,600-181-4211/4230,
80,ST40616B,,FLEETGUARD,AF820M,
